source_entry_id,source_id,source_title,source_page,official_name_zh,official_name_en,normalized_family_key,credit_rating,point_formula,requirements_fingerprint,fuzzy_requirement,prerequisite,keeper_approval,mechanical_comparison,canonical_family_candidate,variant_candidate,implementation_status,recommended_batch,notes
keeper-p41-hacker,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,黑客（现代）,Hacker,computer-professional,10-70,EDU*4,电气维修；电子学；一项社交技能；计算机；图书馆；侦查；任意两项其他技能,no,none,none,mechanical-variant-candidate; canonical-match-across-sources,computer-professional,yes,production-batch-3,Batch 3 - complex / review,production_id=computer-professional-hacker
keeper-p41-journalist,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,记者（原作向）,Journalist,journalist,9-30,EDU*4,一项社交技能；历史；母语；图书馆；心理学；艺术/工艺（摄影）；任意两项其他技能,no,none,none,mechanical-variant-candidate,journalist,yes,production-pilot,already implemented,production_id=journalist-keeper-rulebook
keeper-p41-lawyer,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,律师,Lawyer,lawyer,30-80,EDU*4,心理学；图书馆；会计；两项社交技能；法律；任意两项其他技能,no,none,none,canonical-match-across-sources,lawyer,no,production-batch-2,Batch 2 - structured,production_id=lawyer
keeper-p41-librarian,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,图书馆管理员（原作向）,Librarian,librarian,9-35,EDU*4,会计；母语；图书馆；外语；任意四项个人专长或专业阅读主题,yes,none,none,canonical-match-across-sources,librarian,no,production-batch-3,Batch 3 - complex / review,production_id=librarian
keeper-p41-military-officer,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,军官,Military Officer,military-officer,20-70,"EDU*2+best(DEX,STR)*2",导航；两项社交技能；会计；射击；生存；心理学；任意一项其他技能,no,none,none,mechanical-variant-candidate,military-officer,yes,production-batch-3,Batch 3 - complex / review,production_id=military-officer-keeper-rulebook
keeper-p41-missionary,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,传教士,Missionary,missionary,0-30,EDU*4,博物学；一项社交技能；机械维修；急救；医学；艺术/工艺；任意两项其他技能,no,none,none,mechanical-variant-candidate,missionary,yes,production-pilot,already implemented,production_id=missionary-keeper-rulebook
keeper-p41-musician,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,音乐家,Musician,musician,9-30,"EDU*2+best(DEX,POW)*2",一项社交技能；聆听；心理学；艺术/工艺（乐器）；任意四项其他技能,yes,none,none,canonical-match-across-sources,musician,no,production-batch-2,Batch 2 - structured,production_id=musician
keeper-p41-parapsychologist,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,超心理学家,Parapsychologist,parapsychologist,9-30,EDU*4,历史；人类学；神秘学；图书馆；心理学；艺术/工艺（摄影）；外语；任意一项其他技能,no,none,none,canonical-match-across-sources,parapsychologist,no,production-batch-3,Batch 3 - complex / review,production_id=parapsychologist
keeper-p41-pilot,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,飞行员,Pilot,pilot,20-70,EDU*2+DEX*2,驾驶（飞行器）；操作重型机械；导航；电气维修；机械维修；科学（天文学）；任意两项其他技能,no,none,none,mechanical-variant-candidate; canonical-match-across-sources,pilot,yes,production-batch-3,Batch 3 - complex / review,production_id=pilot-general
keeper-p41-police-detective,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,警探（原作向）,Police Detective,police,20-50,"EDU*2+best(DEX,STR)*2",法律；一项社交技能；聆听；射击；心理学；艺术/工艺（表演）或乔装；侦查；任意一项其他技能,no,none,none,mechanical-variant-candidate; canonical-match-across-sources,police,yes,production-pilot,already implemented,production_id=police-detective
keeper-p41-police-officer,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,警察,Police Officer,police,9-30,"EDU*2+best(DEX,STR)*2",法律；格斗（斗殴）；一项社交技能；急救；射击；心理学；侦查；汽车驾驶或骑术,no,none,none,mechanical-variant-candidate; canonical-match-across-sources,police,yes,production-batch-2,Batch 2 - structured,production_id=police-officer
keeper-p41-private-investigator,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,私家侦探,Private Investigator,private-investigator,9-30,"EDU*2+best(DEX,STR)*2",法律；一项社交技能；乔装；图书馆；心理学；艺术/工艺（摄影）；侦查；任意一项其他技能,no,none,none,canonical-match-across-sources,private-investigator,no,production-batch-3,Batch 3 - complex / review,production_id=private-investigator
keeper-p41-professor,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,教授（原作向）,Professor,professor,20-70,EDU*4,母语；图书馆；心理学；外语；任意四项学术或个人专长,yes,none,none,canonical-match-across-sources,professor,no,production-pilot,already implemented,production_id=professor
keeper-p41-soldier-marine,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,士兵、海军陆战队士兵,Soldier / Marine,soldier-marine,9-30,"EDU*2+best(DEX,STR)*2",格斗；攀爬或游泳；潜行；闪避；射击；生存；从机械维修、急救、外语中任选两项,no,none,none,canonical-match-across-sources,soldier-marine,no,production-pilot,already implemented,production_id=soldier-marine
keeper-p41-tribe-member,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,部落成员,Tribe Member,tribe-member,0-15,"EDU*2+best(DEX,STR)*2",博物学；格斗或投掷；聆听；攀爬；神秘学；生存（任一）；游泳；侦查,no,none,none,canonical-match-across-sources,tribe-member,no,production-batch-2,Batch 2 - structured,production_id=tribe-member
keeper-p41-zealot,coc7-keeper-rulebook-40th-zh,《克苏鲁的呼唤 40 周年纪念版》,41,狂热者,Zealot,zealot,0-30,"EDU*2+best(APP,POW)*2",两项社交技能；历史；潜行；心理学；任意三项其他技能,no,none,none,canonical-match-across-sources,zealot,no,production-batch-3,Batch 3 - complex / review,production_id=zealot
handbook-70-accountant,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,70,会计师,Accountant,accountant,30-70,EDU*4,会计；法律；图书馆；聆听；说服；侦查；任意其他两项个人或时代特长,yes,none,none,single-source-canonical,accountant,no,production-pilot,already implemented,production_id=accountant
handbook-70-acrobat,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,70,杂技演员,Acrobat,acrobat,9-20,EDU*2+DEX*2,攀爬；闪避；跳跃；投掷；侦查；游泳；任意两项其他个人或时代特长,yes,none,none,single-source-canonical,acrobat,no,production-batch-3,Batch 3 - complex / review,production_id=acrobat
handbook-71-stage-actor,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,71,戏剧演员,Stage Actor,actor,9-40,EDU*2+APP*2,艺术（表演）；乔装；格斗；历史；两项社交技能（魅惑、话术、恐吓、说服）；心理学；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,actor,yes,production-batch-3,Batch 3 - complex / review,production_id=actor-stage
handbook-71-film-star,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,71,电影演员,Film Star,actor,20-90,EDU*2+APP*2,艺术（表演）；乔装；汽车驾驶；两项社交技能（魅惑、话术、恐吓、说服）；心理学；任意两项其他个人或时代特长（如骑术或格斗）,yes,none,none,mechanical-variant-candidate,actor,yes,production-batch-3,Batch 3 - complex / review,production_id=actor-film-star
handbook-71-agency-detective,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,71,事务所侦探,Agency Detective,agency-detective,20-45,"EDU*2+best(DEX,STR)*2",一项社交技能（魅惑、话术、恐吓、说服）；格斗（斗殴）；射击；法律；图书馆；心理学；潜行；追踪,no,none,none,single-source-canonical,agency-detective,no,production-batch-2,Batch 2 - structured,production_id=agency-detective
handbook-71-alienist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,71,精神病医生（古典）,Alienist,alienist,10-60,EDU*4,法律；聆听；医学；外语；精神分析；心理学；科学（生物学；化学）,no,none,none,single-source-canonical,alienist,no,production-batch-2,Batch 2 - structured,production_id=alienist
handbook-71-animal-trainer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,71,动物训练师,Animal Trainer,animal-trainer,10-40,"EDU*2+best(APP,POW)*2",跳跃；聆听；博物学；动物驯养；科学（动物学）；潜行；追踪；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,animal-trainer,no,production-batch-3,Batch 3 - complex / review,production_id=animal-trainer
handbook-71-antiquarian,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,71,文物学家（原作向）,Antiquarian,antiquarian,30-70,EDU*4,估价；艺术/工艺（任一）；历史；图书馆；外语；一项社交技能（魅惑、话术、恐吓、说服）；侦查；任意一项其他个人或时代特长,yes,none,none,canonical-match-across-sources,antiquarian,no,production-pilot,already implemented,production_id=antiquarian
handbook-71-antique-dealer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,71,古董商,Antique Dealer,antique-dealer,30-50,EDU*4,会计；估价；汽车驾驶；两项社交技能（魅惑、话术、恐吓、说服）；历史；图书馆；导航,no,none,none,single-source-canonical,antique-dealer,no,production-batch-2,Batch 2 - structured,production_id=antique-dealer
handbook-72-archaeologist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,72,考古学家（原作向）,Archaeologist,archaeologist,10-40,EDU*4,估价；考古；历史；外语；图书馆；侦查；机械维修；导航或科学（任一：如化学、物理、地理等）,no,none,none,single-source-canonical,archaeologist,no,production-batch-2,Batch 2 - structured,production_id=archaeologist
handbook-72-architect,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,72,建筑师,Architect,architect,30-70,EDU*4,会计；工艺（技术制图）；法律；母语；计算机或图书馆；说服；心理学；科学（数学）,no,none,none,single-source-canonical,architect,no,production-batch-2,Batch 2 - structured,production_id=architect
handbook-72-artist,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,72,艺术家,Artist,artist,9-50,"EDU*2+best(DEX,POW)*2",艺术/工艺（任一）；历史或博物学；一项社交技能（魅惑、话术、恐吓、说服）；外语；心理学；侦查；任意两项其他个人或时代特长,yes,none,none,canonical-match-across-sources,artist,no,production-pilot,already implemented,production_id=artist
handbook-72-asylum-attendant,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,72,精神病院看护,Asylum Attendant,asylum-attendant,8-20,"EDU*2+best(DEX,STR)*2",闪避；格斗（斗殴）；急救；两项社交技能（魅惑、话术、恐吓、说服）；聆听；心理学；潜行,no,none,none,single-source-canonical,asylum-attendant,no,production-batch-2,Batch 2 - structured,production_id=asylum-attendant
handbook-72-athlete,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,72,运动员,Athlete,athlete,9-70,"EDU*2+best(DEX,STR)*2",攀爬；跳跃；格斗（斗殴）；骑术；一项社交技能（魅惑、话术、恐吓、说服）；游泳；投掷；任意一项其他个人或时代特长,yes,none,none,canonical-match-across-sources,athlete,no,production-batch-3,Batch 3 - complex / review,production_id=athlete
handbook-72-73-author,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,72-73,作家（原作向）,Author,author,9-30,EDU*4,艺术（文学）；历史；图书馆；博物学或神秘学；外语；母语；心理学；任意一项其他个人或时代特长,yes,none,none,canonical-match-across-sources,author,no,production-pilot,already implemented,production_id=author
handbook-73-bartender,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,73,酒保,Bartender,bartender,8-25,EDU*2+APP*2,会计；两项社交技能（魅惑、话术、恐吓、说服）；格斗（斗殴）；聆听；心理学；侦查；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,bartender,no,production-batch-3,Batch 3 - complex / review,production_id=bartender
handbook-73-big-game-hunter,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,73,猎人,Big Game Hunter,big-game-hunter,20-50,"EDU*2+best(DEX,STR)*2",射击；聆听或侦查；博物学；导航；外语或生存（任一）；科学（生物学或植物学）；潜行；追踪,no,none,none,single-source-canonical,big-game-hunter,no,production-batch-2,Batch 2 - structured,production_id=big-game-hunter
handbook-73-book-dealer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,73,书商,Book Dealer,book-dealer,20-40,EDU*4,会计；估价；汽车驾驶；历史；图书馆；母语；外语；一项社交技能（魅惑、话术、恐吓、说服）,no,none,none,single-source-canonical,book-dealer,no,production-batch-2,Batch 2 - structured,production_id=book-dealer
handbook-73-bounty-hunter,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,73,赏金猎人,Bounty Hunter,bounty-hunter,9-30,"EDU*2+best(DEX,STR)*2",汽车驾驶；电子学或电气维修；格斗或射击；一项社交技能（魅惑、话术、恐吓、说服）；法律；心理学；追踪；潜行,no,none,none,single-source-canonical,bounty-hunter,no,production-batch-2,Batch 2 - structured,production_id=bounty-hunter
handbook-73-boxer-wrestler,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,73,拳击手、摔跤手,Boxer / Wrestler,boxer-wrestler,9-60,EDU*2+STR*2,闪避；格斗（斗殴）；恐吓；跳跃；心理学；侦查；任意两项其他个人或时代特长,yes,none,none,single-source-canonical,boxer-wrestler,no,production-batch-3,Batch 3 - complex / review,production_id=boxer-wrestler
handbook-74-butler-valet-maid,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,74,管家、男仆、女仆,Butler / Valet / Maid,butler-valet-maid,9-40（取决于雇主家的社会地位和信用等级）,EDU*4,会计或估价；艺术/工艺（任一：如烹饪、裁缝、理发）；急救；聆听；心理学；侦查；任意两项其他个人或时代特长,yes,none,none,single-source-canonical,butler-valet-maid,no,production-batch-3,Batch 3 - complex / review,production_id=butler-valet-maid
handbook-74-clergy-member-of-the,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,74,神职人员,"Clergy, Member of the",clergy,9-60,EDU*4,会计；历史；图书馆；聆听；外语；一项社交技能（魅惑、话术、恐吓、说服）；心理学；任意一项其他技能,no,none,none,canonical-match-across-sources,clergy,no,production-batch-1,Batch 1 - simple,production_id=clergy
handbook-74-computer-programmer-technician,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,74,计算机程序员、工程师,Computer Programmer / Technician,computer-professional,10-70,EDU*4,计算机；电气维修；电子学、图书馆；科学（数学）；侦查；任意两项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,computer-professional,yes,production-batch-3,Batch 3 - complex / review,production_id=computer-professional-programmer-technician
handbook-74-hacker,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,74,黑客,Hacker,computer-professional,10-70,EDU*4,计算机；电气维修；电子学；图书馆；侦查；一项社交技能（魅惑、话术、恐吓、说服）；任意两项其他技能,no,none,none,mechanical-variant-candidate; canonical-match-across-sources,computer-professional,yes,production-batch-3,Batch 3 - complex / review,production_id=computer-professional-hacker
handbook-74-cowboy-cowgirl,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,74,牛仔,Cowboy / Cowgirl,cowboy,9-20,"EDU*2+best(DEX,STR)*2",闪避；格斗或射击；急救或博物学；跳跃；骑术；生存（任一）；投掷；追踪,no,none,none,single-source-canonical,cowboy,no,production-batch-2,Batch 2 - structured,production_id=cowboy
handbook-74-craftsperson,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,74,工匠,Craftsperson,craftsperson,10-40,EDU*2+DEX*2,会计；艺术/工艺（任二）；机械维修；博物学；侦查；任意两项其他个人或时代特长,yes,none,none,single-source-canonical,craftsperson,no,production-batch-3,Batch 3 - complex / review,production_id=craftsperson
handbook-75-assassin,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,75,刺客,Assassin,criminal,30-60,"EDU*2+best(DEX,STR)*2",乔装；电气维修；格斗；射击；锁匠；机械维修；潜行；心理学,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-assassin
handbook-75-bank-robber,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,75,银行劫匪,Bank Robber,criminal,5-75,"EDU*2+best(DEX,STR)*2",汽车驾驶；电气维修或机械维修；格斗；射击；恐吓；锁匠；操作重型机械；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-bank-robber
handbook-75-bootlegger-thug,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,75,打手、暴徒,Bootlegger / Thug,criminal,5-30,EDU*2+STR*2,汽车驾驶；格斗；射击；两项社交技能（魅惑、话术、恐吓、说服）；心理学；潜行；侦查,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-bootlegger-thug
handbook-75-burglar,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,75,窃贼,Burglar,criminal,5-40,EDU*2+DEX*2,估价；攀爬；电气维修或机械维修；聆听；锁匠；妙手；潜行；侦查,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-burglar
handbook-75-conman,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,75,欺诈师,Conman,criminal,10-65,EDU*2+APP*2,估价；艺术（表演）；法律或外语；聆听；两项社交技能（魅惑、话术、恐吓、说服）；心理学；妙手,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-conman
handbook-75-criminal-freelance-solo,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,75,独行罪犯,Criminal (Freelance / Solo),criminal,5-65,"EDU*2+best(APP,DEX)*2",艺术（表演）或乔装；估价；一项社交技能（魅惑、话术、恐吓、说服）；格斗或射击；锁匠或机械维修；潜行；心理学；侦查,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-freelance-solo
handbook-76-gun-moll,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,76,女飞贼（古典）,Gun Moll,criminal,10-80（收入很大程度上取决于男伴的收入）,EDU*2+APP*2,艺术/工艺（任意）；两项社交技能（魅惑、话术、恐吓、说服）；格斗（斗殴）或射击（手枪）；汽车驾驶；聆听；潜行；任意一项其他个人或时代特长,yes,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-gun-moll
handbook-76-fence,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,76,赃物贩子,Fence,criminal,20-40,EDU*2+APP*2,会计；估价；工艺（伪造）；历史；一项社交技能（魅惑、话术、恐吓、说服）；图书馆；侦查；任意一项其他技能,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-fence
handbook-76-forger-counterfeiter,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,76,赝造者、伪造者,Forger / Counterfeiter,criminal,20-60,EDU*4,会计；估价；工艺（伪造）；历史；图书馆；侦查；妙手；任意一项其他个人或时代特长（如计算机）,yes,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-forger-counterfeiter
handbook-76-smuggler,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,76,走私者,Smuggler,criminal,20-60,"EDU*2+best(APP,DEX)*2",射击；聆听；导航；一项社交技能（魅惑、话术、恐吓、说服）；汽车驾驶或驾驶（飞行器或船）；心理学；妙手；侦查,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-smuggler
handbook-76-street-punk,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,76,混混,Street Punk,criminal,3-10,"EDU*2+best(DEX,STR)*2",攀爬；一项社交技能（魅惑、话术、恐吓、说服）；格斗；射击；跳跃；妙手；潜行；投掷,no,none,none,mechanical-variant-candidate,criminal,yes,production-batch-3,Batch 3 - complex / review,production_id=criminal-street-punk
handbook-77-cult-leader,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,77,教团首领,Cult Leader,cult-leader,30-60,EDU*4,会计；两项社交技能（魅惑、话术、恐吓、说服）；神秘学；心理学；侦查；任意其他两项其他个人特长,yes,none,none,single-source-canonical,cult-leader,no,production-batch-3,Batch 3 - complex / review,production_id=cult-leader
handbook-77-deprogrammer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,77,除魅师（现代）,Deprogrammer,deprogrammer,20-50,EDU*4,两项社交技能（魅惑、话术、恐吓、说服）；汽车驾驶；格斗（斗殴）或射击；历史；神秘学；心理学；潜行。※经过KP允许；可以用催眠替换其中一项技能,no,none,KP may allow Hypnosis to replace one occupation skill,single-source-canonical,deprogrammer,no,production-batch-3,Batch 3 - complex / review,production_id=deprogrammer
handbook-78-designer,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,78,设计师,Designer,designer,20-60,EDU*4,会计；艺术（摄影）；艺术/工艺（任一）；计算机或图书馆；机械维修；心理学；侦查；任意一项其他个人特长,yes,none,none,single-source-canonical,designer,no,production-batch-3,Batch 3 - complex / review,production_id=designer
handbook-78-dilettante,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,78,业余艺术爱好者（原作向）,Dilettante,dilettante,50-99,EDU*2+APP*2,艺术/工艺（任一）；射击；外语；骑术；一项社交技能（魅惑、话术、恐吓、说服）；任意三项其他个人或时代特长,yes,none,none,canonical-match-across-sources,dilettante,no,production-batch-3,Batch 3 - complex / review,production_id=dilettante
handbook-78-diver,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,78,潜水员,Diver,diver,9-30,EDU*2+DEX*2,潜水；急救；机械维修；驾驶（船）；科学（生物）；侦查；游泳；任意一项其他个人或时代特长,yes,none,none,single-source-canonical,diver,no,production-batch-3,Batch 3 - complex / review,production_id=diver
handbook-78-doctor-of-medicine,coc7-investigator-handbook-zh-1-21,《克苏鲁的呼唤第七版调查员手册》,78,医生（原作向）,Doctor of Medicine,doctor-of-medicine,30-80,EDU*4,急救、医学、外语（拉丁文）、心理学、科学（生物学；药学）；任两种其他学术或个人特长,yes,none,none,canonical-match-across-sources,doctor-of-medicine,no,production-pilot,already implemented,production_id=doctor-of-medicine
