excel_row,excel_index,excel_name,normalized_name,credit_rating,occupation_formula,occupation_skills,contacts_present,description_source_hint,classification,official_family_key,matched_source_entries,mechanics_match,setting_or_source_hint,duplicate_group,recommended_action,confidence,notes
13,11,考古学家（原作向）,考古学家（原作向）,10-40,教育×4,估价，考古，历史，外语，图书馆，侦查，机械维修，导航或科学（任一：如化学、物理、地理等）。,yes,"考古学家研究探索历史的痕迹。主要来说，是对人类历史相关的物质数据进行各种鉴识、检查、分析。这项工作包含辛苦细致的研究，更不必提情愿亲自下斗铲土的决心。
在1920 年代，成功的考古学家会被当成著名冒险家与探险家，名利双收。有人运用科学方法考古，不过更多的人对付老祖宗的秘密时喜好暴力破解的办法，甚至祭出炸药，这种碉堡了的办法现代人可是很难看得惯的。",confirmed-standard,archaeologist,handbook-72-archaeologist,yes,Investigator Handbook,,map-to-canonical-family,high,
14,12,建筑师,建筑师,30-70,教育×4,会计，技艺（技术制图），法律，母语，计算机或图书馆，说服，心理学，科学（数学）。,yes,"建筑师掌握设计和营造建筑的知识，不论是个人房屋的改造还是造价数百万美元的地标工程。建筑师与项目经理紧密合作，负责监督施工全程。建筑师必须了解当地的规划法律，健康和安全法规，和基础的公众安全原则。他们既可以在大公司工作，也可以自由工作，这在很大程度上取决于信誉。
在1920 年代，许多人尝试在自家或小办公室单干。不过他们苦心创造的宏伟设计很少能卖得出去。
建筑师也可能专擅某一学科，比如军事建筑或景观工程等。",confirmed-standard,architect,handbook-72-architect,yes,Investigator Handbook,,map-to-canonical-family,high,
15,13,艺术家,艺术家,9-50,教育×2＋敏捷或意志×2,技艺（任一），历史或自然，一项社交技能（取悦、话术、恐吓、说服），外语，心理学，侦查，任意两项其他个人或时代特长。,yes,艺术家在这里可以是画家，雕塑家等等。他们有时沈浸于自己虚幻的想象当中，有时又沐浴在激发热情和理解的灵感之下。不论是否天资优秀，艺术家的内心必须足够强大，这样才能战胜生涯起步时的障碍和挑剔的眼光，并且在自己小有名气以后继续努力。有些艺术家对物质生活是否丰富并不在乎，而有些则有着强烈的创业倾向。,confirmed-standard,artist,handbook-72-artist,yes,Investigator Handbook,same-name:艺术家,map-to-canonical-family,high,
16,14,精神病院看护,精神病院看护,8-20,教育×2＋力量或敏捷×2,闪避，格斗（斗殴），急救，两项社交技能（取悦、话术、恐吓、说服），聆听，心理学，潜行。,yes,尽管少数富有的人会选择私人疗养院，大多精神病患者最终会被安置到州县设置的定点医院。这些地方除了医生护士以外，还会有一支看护队伍。选聘看护的时候，力量和体格往往比医学知识更被看重。,confirmed-standard,asylum-attendant,handbook-72-asylum-attendant,yes,Investigator Handbook,,map-to-canonical-family,high,
17,15,运动员,运动员,9-70,教育×2＋力量或敏捷×2,攀爬，跳跃，格斗（斗殴），骑乘，一项社交技能（取悦、话术、恐吓、说服），游泳，投掷，任意一项其他个人或时代特长。,yes,"运动员可能效力于职业的棒球、足球、板球或者篮球队伍。这支队伍也许是大联盟队伍，有着稳定工资，参加的比赛万人瞩目；或者是众多小联盟队伍之一，尤其是在1920 年代的棒球界。这些队伍往往寄于大联盟队伍篱下，各方面都受其管理，工资更是刚够运动员糊口又不至于让他们跳槽的水平。
成功的运动员在自己的专业领域会拥有相当的声誉——现今尤其如此，在世界各地都能看到体育明星和电影明星并肩站在红地毯上的场景。",confirmed-standard,athlete,handbook-72-athlete,yes,Investigator Handbook,,map-to-canonical-family,high,
18,16,作家（原作向）,作家（原作向）,9-30,教育×4,技艺（文学），历史，图书馆，自然或神秘学，外语，母语，心理学，任意一项其他个人或时代特长。,yes,"作家不同于记者，他们用文字定义和探讨人们的社会生活，尤其是人们的情感变化。他们的劳动通常孤立而又自我中心：虽然以前写作是个能稳拿工资的行当，但如今只靠写作发大财的人屈指可数。
作家的工作习惯相差极大。通常作家们会花费数月乃至数年的时间调查取材，为新书的创作做准备；然后闭门谢客，投入紧张的创作。",confirmed-standard,author,handbook-72-73-author,yes,Investigator Handbook,,map-to-canonical-family,high,
19,17,酒保,酒保,8-25,教育×2＋外貌×2,会计，两项社交技能（取悦、话术、恐吓、说服），格斗（斗殴），聆听，心理学，侦查，任意一项其他个人或时代特长。,yes,"酒保虽然不一定是酒吧的掌柜，却一定是所有客人的朋友。对客人们的好声气，一部分来说是出于他们的职业或者业务，而更多的来说则是达到目的的一种手段。
1920 年代，由于禁酒令的存在，酒保变成了非法的职业；但是遍地开花的黑酒吧又不能没有酒保，结果就是酒保仍然不愁找不到活干。",confirmed-standard,bartender,handbook-73-bartender,yes,Investigator Handbook,,map-to-canonical-family,high,
20,18,猎人,猎人,20-50,教育×2＋力量或敏捷×2,射击，聆听或侦查，自然，导航，外语或生存（任一），科学（生物学或植物学），潜行，追踪。,yes,"猎人是优秀的追踪者和狩猎者，通常靠为富裕的客户捕猎为生。绝大多数猎人会对地球上某一个部分的情况烂熟于心，比如加拿大森林、非洲草原等等。有些人可能从事盗猎活动，例如为私人收藏家捕捉珍稀动物，或者贩卖受保护的动物和违反道德的动物制品，如兽皮、象牙之类——虽然1920 年代大多数国家这些活动都不算违法。
尽管“王牌猎人”是最典型的类型，不过在加拿大育空的深山老林里打驼鹿和熊为生的土著人也可以算是猎人。",confirmed-standard,big-game-hunter,handbook-73-big-game-hunter,yes,Investigator Handbook,,map-to-canonical-family,high,
21,19,书商,书商,20-40,教育×4,会计，估价，汽车驾驶，历史，图书馆，母语，外语，一项社交技能（取悦、话术、恐吓、说服）。,yes,书商可能拥有自己的店面或者利基(小众)邮购服务，也可能辗转全国甚至海外专门经销书籍。许多人拥有富有的，能提供利润丰厚又稀罕的工作的固定客户。,confirmed-standard,book-dealer,handbook-73-book-dealer,yes,Investigator Handbook,,map-to-canonical-family,high,
22,20,赏金猎人,赏金猎人,9-30,教育×2＋力量或敏捷×2,汽车驾驶，电子学或电气维修，格斗或射击，一项社交技能（取悦、话术、恐吓、说服），法律，心理学，追踪，潜行。,yes,"赏金猎人捉拿罪犯并将他们交给正义去审判。最常见的情况是受保释人的委托去缉捕逃狱者。赏金猎人们为了自己的猎物可以不择手段，几乎不会考虑其他人的正当权益之类细枝末节的东西。
非法闯入、威胁、肢体暴力，都是赏金猎人屡试不爽的秘技。现在这些秘技还包括了电话窃听、黑客操作和其他的秘密监控。
(译注：所谓保释业者。向法院交纳保释金，可以在审判之前免受收押；若被保释者按时接受审判，法院会退还保释金。保释金数额较大，故有保释业者以提供保释金收取手续费为业。)",confirmed-standard,bounty-hunter,handbook-73-bounty-hunter,yes,Investigator Handbook,,map-to-canonical-family,high,
23,21,拳击手、摔跤手,拳击手、摔跤手,9-60,教育×2＋力量×2,闪避，格斗（斗殴），恐吓，跳跃，心理学，侦查，任意两项其他个人或时代特长。,yes,"拳击手和摔跤手各分为职业和业余两种。
职业拳击手和职业摔角手的活动由外部利益支持的贸助人安排，并有合同约束。他们还要进行全日制的工作和训练。
业余拳击的竞赛种类非常丰富，同时它也是那些想成为职业拳手的人的训练场。不过也有业余和准职业的选手靠参加黑市拳击赛谋生，举办这些比赛的通常是本地的黑社会或者是从中渔利的庄家。",confirmed-standard,boxer-wrestler,handbook-73-boxer-wrestler,yes,Investigator Handbook,,map-to-canonical-family,high,
24,22,管家、男仆、女仆,管家、男仆、女仆,9-40,教育×4,会计或估价，技艺（任一：如烹饪、裁缝、理发），急救，聆听，外语，心理学，侦查，任意一项其他个人或时代特长。,no,,confirmed-standard,butler-valet-maid,handbook-74-butler-valet-maid,no,Investigator Handbook,,map-to-canonical-family,high,Excel adds Foreign Language and reduces the official two free personal/era picks to one.
25,23,神职人员,神职人员,9-60,教育×4,会计，历史，图书馆，聆听，外语，一项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他技能。,yes,"神职人员通常担任一个教区的牧师，或是经过分配外出传教，尤其是去国外(见传教士)。
不同的教会工作的侧重点和组织结构各不相同，如天主教会的牧师可能上升到主教、大主教和红衣主教，而一个卫理公会的牧师则会升职到教区主管和主教。
许多神职人员都接受忏悔(不仅仅是天主教)。虽然不能透露忏悔的内容，但是要怎样利用它们就全凭他们自己了。
有些教职人员在教堂接受医生、律师、学者的专业培训。这样的调查员应该选择最符合自己工作的职业模板。",confirmed-standard,clergy,handbook-74-clergy-member-of-the,yes,Investigator Handbook,,map-to-canonical-family,high,
26,24,程序员、电子工程师（现代）,计算机程序员、工程师,10-70,教育×4,计算机，电气维修，电子学、图书馆，科学（数学），侦查，任意两项其他个人或时代特长。,yes,"计算器程序员通常是设计、编写、测试、调试和维护计算器程序源代码的职业。他们精通从形式逻辑到系统平台(程序运行环境)的各种知识，可能是自由工作者，也可能供职于软件开发部门。
计算器技术人员负责计算器系统和网络的开发和维护工作，经常与其他人员(如项目经理)合作来保证系统的完整稳定和正常提供所需功能。类似的职业还包括数据库管理员、系统管理员、网络管理员、多媒体开发人员、软件工程师、网络管理员等。",confirmed-standard-variant,computer-professional,handbook-74-computer-programmer-technician,yes,Investigator Handbook,,map-to-source-variant,high,
27,25,黑客/骇客（现代）,黑客,10-70,教育×4,计算机，电气维修，电子学，图书馆，侦查，一项社交技能（取悦、话术、恐吓、说服），任意两项其他技能。,yes,计算器黑客利用计算器和计算器网络为手段，进行干扰或破坏以达成政治目的(有时被称为“政治黑客”)或获取非法利益。达成目标的手段主要是非法入侵计算器和其他用户帐户，目的则可能包括篡改网页、人肉搜索、盗取身份信息、垃圾邮件炸弹、拒绝服务攻击等等。,confirmed-standard-variant,computer-professional,handbook-74-hacker,yes,Investigator Handbook,,map-to-source-variant,high,
28,26,牛仔,牛仔,9-20,教育×2＋力量或敏捷×2,闪避，格斗或射击，急救或自然，跳跃，骑乘，生存（任一），投掷，追踪。,yes,"牛仔在西部的牧区和牧场工作。有些人拥有自己的牧场，更多的则是在各处打工为生。想赚大钱的牛仔会去冒着丢胳膊少腿乃至送命的危险参加牛仔巡回赛，通过旅行获取名誉。
在1920 年代，一些牛仔能在好莱坞找到西部片替身演员和群众演员的工作，例如怀特·厄普就曾为西部电影担任顾问。在现代，有些牧场也对想要体验一把牛仔生活的游客开放。",confirmed-standard,cowboy,handbook-74-cowboy-cowgirl,yes,Investigator Handbook,,map-to-canonical-family,high,
29,27,工匠,工匠,10-40,教育×2＋敏捷×2,会计，技艺（任二），机械维修，自然，侦查，任意两项其他个人或时代特长。,yes,"工匠也可能被人叫做师傅或大师，是擅长对各种材料进行手工加工的人。通常都是才能出众的人，有的凭借自己的艺术作品出名，有的则会服务于自己的小区。
可能的行当包括：家具、珠宝、钟表、陶艺、锻造、纺织、书法、裁缝、木工、书籍装裱、玩具制造、彩色玻璃吹制等等。",confirmed-standard,craftsperson,handbook-74-craftsperson,yes,Investigator Handbook,same-name:工匠,map-to-canonical-family,high,
30,28,罪犯-刺客,刺客,30-60,教育×2＋力量或敏捷×2,乔装，电气维修，格斗，射击，锁匠，机械维修，潜行，心理学。,yes,杀手是地下世界的冷血夺命者。这是一项严谨的活计，他们从外地受雇杀人，接近目标，果断下手，又迅速离开。杀手通常很难融入社会，因为很多杀手行为总是很刻板，其他人很容易以为他们不近人情。但是另一方面，他们也会结婚生子，在其他方面和普通人没有什么不同。,confirmed-standard-variant,criminal,handbook-75-assassin,yes,Investigator Handbook,,map-to-source-variant,high,
31,29,罪犯-银行劫匪,银行劫匪,5-75,教育×2＋力量或敏捷×2,汽车驾驶，电气维修或机械维修，格斗，射击，恐吓，锁匠，操作重型机械，任意一项其他个人或时代特长。,yes,"罪犯的体格和相貌形形色色，有些是纯粹碰运气伺机行事，比如扒手和暴徒；有些则组成分工明确，会详细调查并制定计划的犯罪组织。后者包括银行劫匪、飞贼、赝造者和诈骗者。
罪犯可能为别人工作，后者通常是“匪帮”或罪犯家族；也可能单打独斗，如果成功的报酬值得去费力冒险，才会和别人搭伙。自由犯罪者则往往被称为抢劫犯、响马贼和江洋大盗。",confirmed-standard-variant,criminal,handbook-75-bank-robber,yes,Investigator Handbook,,map-to-source-variant,high,
32,30,罪犯-打手、暴徒,打手、暴徒,5-30,教育×2＋力量×2,汽车驾驶，格斗，射击，两项社交技能（取悦、话术、恐吓、说服），心理学，潜行，侦查。,yes,打手、暴徒都是犯罪组织的兵卒。他们被犯罪组织豢养，不过团伙上层出事的时候，倒霉的往往是他们这些喽啰。对于他们来说，嘴紧和忠心属于职业道德。,confirmed-standard-variant,criminal,handbook-75-bootlegger-thug,yes,Investigator Handbook,,map-to-source-variant,high,
33,31,罪犯-窃贼,窃贼,5-40,教育×2＋敏捷×2,估价，攀爬，电气维修或机械维修，聆听，锁匠，妙手，潜行，侦查。,yes,"罪犯的体格和相貌形形色色，有些是纯粹碰运气伺机行事，比如扒手和暴徒；有些则组成分工明确，会详细调查并制定计划的犯罪组织。后者包括银行劫匪、飞贼、赝造者和诈骗者。
罪犯可能为别人工作，后者通常是“匪帮”或罪犯家族；也可能单打独斗，如果成功的报酬值得去费力冒险，才会和别人搭伙。自由犯罪者则往往被称为抢劫犯、响马贼和江洋大盗。",confirmed-standard-variant,criminal,handbook-75-burglar,yes,Investigator Handbook,,map-to-source-variant,high,
34,32,罪犯-欺诈师,欺诈师,10-65,教育×2＋外貌×2,估价，技艺（表演），法律或外语，聆听，两项社交技能（取悦、话术、恐吓、说服），心理学，妙手。,yes,欺诈师通常都是油嘴滑舌的人物。他们或单独或集体出没在富裕的人家和小区周边，诈取他们来之不易的钱财。许多骗局覆杂精妙，诈骗团伙会倾巢出动乃至租用建筑；有些则不需要这么麻烦，只要一个骗子几分钟就能搞定。,confirmed-standard-variant,criminal,handbook-75-conman,yes,Investigator Handbook,,map-to-source-variant,high,
35,33,罪犯-独行罪犯,独行罪犯,5-65,教育×2＋敏捷或外貌×2,技艺（表演）或乔装，估价，一项社交技能（取悦、话术、恐吓、说服），格斗或射击，锁匠或机械维修，潜行，心理学，侦查。,yes,"罪犯的体格和相貌形形色色，有些是纯粹碰运气伺机行事，比如扒手和暴徒；有些则组成分工明确，会详细调查并制定计划的犯罪组织。后者包括银行劫匪、飞贼、赝造者和诈骗者。
罪犯可能为别人工作，后者通常是“匪帮”或罪犯家族；也可能单打独斗，如果成功的报酬值得去费力冒险，才会和别人搭伙。自由犯罪者则往往被称为抢劫犯、响马贼和江洋大盗。",confirmed-standard-variant,criminal,handbook-75-criminal-freelance-solo,yes,Investigator Handbook,,map-to-source-variant,high,
36,34,罪犯-女飞贼（古典）,女飞贼（古典）,10-80,教育×2＋外貌×2,技艺（任意），两项社交技能（取悦、话术、恐吓、说服），格斗（斗殴）或射击（手枪），汽车驾驶，聆听，潜行，任意一项其他个人或时代特长。,yes,"女飞贼是名为专业大盗的女人。大部分都是独立行动，也有对自己的男伴言听计从的时候。
不过这也不一定，实际上情况可能完全相反，她完全可以在干了某一票以后就卷走所有现金和皮草溜之大吉。",confirmed-standard-variant,criminal,handbook-76-gun-moll,yes,Investigator Handbook,,map-to-source-variant,high,
37,35,罪犯-赃物贩子,赃物贩子,20-40,教育×2＋外貌×2,会计，估价，技艺（伪造），历史，一项社交技能（取悦、话术、恐吓、说服），图书馆，侦查，任意一项其他技能。,yes,赃物贩子，顾名思义是买卖偷抢来的财产，通常是收购赃物并转手卖给其他罪犯或(无意中)守法的顾客。主要来说，他们是小偷和买家的中间人，有时也会从交易中收取提成；不过更常见的还是以极低的价格直接收购赃物。,confirmed-standard-variant,criminal,handbook-76-fence,yes,Investigator Handbook,,map-to-source-variant,high,
38,36,罪犯-赝造者,赝造者、伪造者,20-60,教育×4,会计，估价，技艺（伪造），历史，图书馆，侦查，妙手，任意一项其他个人或时代特长（如计算机）。,yes,赝造者是地下世界的艺术家，专门从事伪造官方文件、契约、转让书，并提供伪造的签名。初学者只能做做小贼的假身份证，而顶级的赝造者连印假币的铸模都能做。,confirmed-standard-variant,criminal,handbook-76-forger-counterfeiter,yes,Investigator Handbook,,map-to-source-variant,high,
39,37,罪犯-走私者,走私者,20-60,教育×2＋外貌或敏捷×2,射击，聆听，导航，一项社交技能（取悦、话术、恐吓、说服），汽车驾驶或驾驶（飞行器或船），心理学，妙手，侦查。,yes,走私一直是一个有利可图的高风险行当。走私者往往有一个合法的表面职业，比如船长、飞行员或商人，以掩盖他们非法运输的行为。,confirmed-standard-variant,criminal,handbook-76-smuggler,yes,Investigator Handbook,,map-to-source-variant,high,
40,38,罪犯-混混,混混,3-10,教育×2＋力量或敏捷×2,攀爬，一项社交技能（取悦、话术、恐吓、说服），格斗，射击，跳跃，妙手，潜行，投掷。,yes,街头混混一般都是些小年轻，弄不好还在寻觅加入真正黑帮的契机。不过他们的本事也就限于偷车，盗窃商店货物，抢钱或者夜盗。,confirmed-standard-variant,criminal,handbook-76-street-punk,yes,Investigator Handbook,,map-to-source-variant,high,
41,39,教团首领,教团首领,30-60,教育×4,会计，两项社交技能（取悦、话术、恐吓、说服），神秘学，心理学，侦查，任意其他两项其他个人特长。,yes,"美国的新兴宗教层出不穷。直到现在，也还有从新英格兰超验主义到“天父的儿女”等等许多种类。教团首领有的创立了严格的教条并且对信徒推行，另一些则仅仅是垂涎于信徒的金钱和权势。
在1920 年代，各种诱惑性的新兴宗教团体纷纷涌现。有些采取基督教的形式，有些则混杂了东方的神秘主义和神秘学的仪式。美国西海岸的人对这些教团屡见不鲜，不过其他形式的教团全国各地都存在。在美国南部的“圣经带”，就有许多巡回帐篷演出圣歌、舞蹈，推行信仰覆兴。其他国家也是一样，只要有需要信仰的人，就会有新兴宗教团体。",confirmed-standard,cult-leader,handbook-77-cult-leader,yes,Investigator Handbook,,map-to-canonical-family,high,
42,40,除魅师（现代）,除魅师（现代）,20-50,教育×4,两项社交技能（取悦、话术、恐吓、说服），汽车驾驶，格斗（斗殴）或射击，历史，神秘学，心理学，潜行。※经KP允许 可用催眠替换其中一项。,yes,"除魅师的工作是说服(或者强迫)一个人放弃自己的信仰或是对宗教团体、社会团体的忠心。他们一般受雇于深陷教团之类组织的人的亲属，任务就是解救对方(通常靠绑架)，并通过心理学手段使他们割断与原来教团的联系(“控制”)。
也有不那么激烈的除魅师，他们的工作对象则是那些自愿离开教团的人，为他们完全地退出教团进行有效的指导。",confirmed-standard,deprogrammer,handbook-77-deprogrammer,yes,Investigator Handbook,,map-to-canonical-family,high,
43,41,设计师,设计师,20-60,教育×4,会计，技艺（摄影），技艺（任一），计算机或图书馆，机械维修，心理学，侦查，任意一项其他个人特长。,yes,"设计师的工作包括许多方面，从时装到家具或是其他任何东西。他们自由工作，为设计工作室和企业设计产品、流程、法律、游戏、图像等等。
调查员特定的设计方向也会影响他们对专业技能的选择，如果需要的话要进行调整。",confirmed-standard,designer,handbook-78-designer,yes,Investigator Handbook,,map-to-canonical-family,high,
44,42,业余艺术爱好者（原作向）,业余艺术爱好者（原作向）,50-99,教育×2＋外貌×2,技艺（任一），射击，外语，骑乘，一项社交技能（取悦、话术、恐吓、说服），任意三项其他个人或时代特长。,yes,"业余艺术爱好者靠经济自立、遗产继承、信托基金或者其他各种来源保障自己的生活开支，没有必要自己工作。如果经济条件足够好，他们甚至可以雇佣专业的经济顾问来打理自己的产业。他们可能有很高的学历，但不一定是真才实学；优越的经济条件使得他们性情古怪，口无遮拦。
在1920 年代，这些人可能会被时人称为“摩登女郎”或者“公子哥儿”，当然想当一个社交“名流”其实并不要求他有多有钱。换作现代，“时髦”则是恰如其分的形容词。
业余艺术爱好者有着大把的时间考虑如何变得潇洒世故，不过花这些时间去做别的事可是违背他们的天性和兴致。",confirmed-standard,dilettante,handbook-78-dilettante,yes,Investigator Handbook,,map-to-canonical-family,high,
45,43,潜水员,潜水员,9-30,教育×2＋敏捷×2,潜水，急救，机械维修，驾驶（船），科学（生物），侦查，游泳，任意一项其他个人或时代特长。,yes,潜水员可能在军队、执法机构或海绵采集、海上救援、环境保护甚至水下寻宝的民间机构工作。,confirmed-standard,diver,handbook-78-diver,yes,Investigator Handbook,,map-to-canonical-family,high,
46,44,医生（原作向）,医生（原作向）,30-80,教育×4,急救、医学、外语（拉丁文）、心理学、科学（生物学，制药），任两种其他学术或个人特长。,yes,"医生这里可能是指全科医生、外科医生、其他专科医生或者独立医学研究员。除去个人的目标以外，救死扶伤、获得财富和荣誉、提升公众的理性意识和科学素养也常常是医生的理想。
农村和小城镇的卫生院是全科医生的舞台，而大城市的各大医院则是高手如云，集聚了众多专攻病理学、毒理学、整形外科、脑外科等领域的专家。有些医生也可能担任全职或兼职的法医，进行尸检，并为市、县、州级执法机构出具检验报告。
在美国，行医资格由各州认证，大多要求最少两年的正规医学院校学习经历。不过这个规定还是比较晚近的，在1920 年代很多年长的医生尽管没受过任何正规专业教育，仍然可以获得医师执照。",confirmed-standard,doctor-of-medicine,handbook-78-doctor-of-medicine,yes,Investigator Handbook,,map-to-canonical-family,high,
